serial_number,stock_code,stock_abbr,report_period,report_year,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity
19,000999,华润三九,2022FY,2022,314970.89,-13827.04,3554.14,258.0,94609.19,0.0,0.0,144946.78,101227.22,0.02,0.0,101227.22,16850.0,0.0,740828.49,97890.0
20,000999,华润三九,2022FY,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,000999,华润三九,2023Q1,2023,533011.56,685741.63,433701.7,-596.49,108287.68,3787985.4,0.0,238030.66,161161.99,0.0,0.0,161161.99,143405.79,0.0,1491246.55,0.0
22,000999,华润三九,2023Q3,2023,661414.32,607627.13,489044.76,-304.16,98246.56,3869806.06,2.16,230914.83,137265.0,0.0,0.0,137265.0,83856.34,0.0,1517568.92,0.0
23,000999,华润三九,2023HY,2023,669961.63,-5826.77,1993.58,8000.0,96289.96,3886556.25,2.6022,234617.8,143596.3,0.02,0.0,143596.3,102651.41,0.0,1465021.4,98834.6
24,000999,华润三九,2023HY,2023,0.0,0.0,0.0,0.0,0.0,3886556.25,2.6022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,000999,华润三九,2023FY,2023,677077.26,618220.71,17263.53,145601.44,53779.61,4014845.59,5.9889,236524.91,165015.24,0.02,0.0,165015.24,88565.07,0.0,823750.66,98834.6
26,000999,华润三九,2023FY,2023,0.0,0.0,0.0,0.0,0.0,4014845.59,5.9889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896714.19
27,000999,华润三九,2024Q1,2024,702623.14,633256.85,498163.09,180366.94,58857.66,4124767.44,0.0,235883.46,178179.37,0.0,0.0,178179.37,91430.6,0.0,1698984.7,0.0
28,000999,华润三九,2024Q3,2024,614265.56,644104.71,505713.01,270398.29,63163.27,4076992.34,-1.1582,235640.39,146144.96,0.0,0.0,146144.96,82160.94,0.0,1710357.79,0.0
29,000999,华润三九,2024HY,2024,548200.68,-2518.92,2574.88,328546.49,64633.7,4069826.65,-1.332,238219.97,147380.35,4069826.65,0.0,147380.35,90552.27,100.0,1654210.52,98818.4
30,000999,华润三九,2024HY,2024,0.0,0.0,0.0,0.0,0.0,4069826.65,-1.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,000999,华润三九,2024FY,2024,501683.3,0.0,14180.56,167733.44,30671.76,4008197.23,-2.8261,232301.44,5.68,0.02,0.0,186086.31,85556.74,0.0,1612109.32,98818.4
32,000999,华润三九,2024FY,2024,0.0,0.0,0.0,0.0,0.0,4008197.23,-2.8261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
33,000999,华润三九,2025FY,2025,790514.79,768069.67,671011.59,264794.16,62183.4,5784639.54,0.0,287131.57,6379.25,0.0,0.0,152815.29,247101.04,0.0,1739116.7,0.0
34,000999,华润三九,2025FY,2025,562322.62,766606.41,-7719.69,295188.02,72187.55,5656398.18,-2.2169,228366.61,6515.41,0.0,0.0,98699.03,180780.65,0.0,1725583.95,0.0
35,000999,华润三九,2025FY,2025,640785.17,-5163.06,-5163.06,326362.72,65290.12,5725989.25,-1.0139,255137.14,6375.7,5725989.25,0.0,117877.85,289553.48,100.0,1744659.76,128429.87
36,000999,华润三九,2025FY,2025,0.0,0.0,0.0,0.0,0.0,5725989.25,-1.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
